"id","name"
1,"Equity"
2,"Web"
3,"Services"
4,"Oral Communications Skills"
5,"Sales"
6,"Support"
7,"Process Improvements"
8,"SalesForce"
9,"Product Marketing"
10,"Publishing"
11,"Legal"
12,"Documentation"
13,"Management"
14,"Communications"
15,"Team Player"
16,"English Language"
17,"Accredited Pension Representative"
18,"Banking Industry"
19,"Investment Banking"
20,"Financial"
21,"Quality"
22,"Training"
23,"Consulting"
24,"Portfolio Management"
25,"Business Development"
26,"Building Partnerships"
27,"Information Technology"
28,"REST"
29,"Test"
30,"Diversity"
31,"Communication"
32,"national security"
33,"impact"
34,"RF Engineer Internship"
35,"Mechanical Engineer Internship"
36,"Engineering Intern"
37,"Customer Engineer Internship-I"
38,"Software Development Engineer Intern"
39,"Software Internship"
40,"Hardware Engineer Intern"
41,"Design Automation Intern"
42,"Embedded Software Internship"
43,"Software Developer Engineer Intern"
44,"augmented reality"
45,"application"
46,"programming skills"
47,"computer science"
48,"web applications"
49,"software engineering"
50,"programming"
51,"Javascript Developer - Procat"
52,"Irrt Software Panel Engineer"
53,"Tools & IDE Software Developer"
54,"ES Application Dev Engineer"
55,"Jira Tools Developer"
56,"Composition Software Engineer"
57,"Encriss Software Developer Trainee - Hadoop"
58,"UI & UX Developer & Master Trainer"
59,"UNAVAILABLE"
60,"Reading Comprehension"
61,"Active Listening"
62,"Speaking"
63,"Mathematics"
64,"Critical Thinking"
65,"Social Perceptiveness"
66,"Complex Problem Solving"
67,"Judgment and Decision Making"
68,"C++ (Programming Language)"
69,"Software Engineering"
70,"Java (Programming Language)"
71,"Data Structures"
72,"Infrastructure"
73,"Front End (Software Engineering)"
74,"STRONG WORK ETHIC"
75,"Java"
76,"Technical Lead"
77,"Video"
78,"Engineering"
79,"Leadership"
80,"Technical Support"
81,"Software"
82,"Programming Languages"
83,"NodeJS"
84,"RESTful API"
85,"Unit Testing"
86,"People Management"
87,"Agile"
88,"Ecommerce"
89,"AWS"
90,"HTML5"
91,"DESIGN PATTERNS"
92,"EXCELLENT VERBAL AND WRITTEN COMMUNICATION SKILLS"
93,"FRONT END DEVELOPER"
94,"JENKINS"
95,"TRANSLATING"
96,"USER EXPERIENCE DESIGN"
97,"USER INTERFACE"
98,"VERSION CONTROL"
99,"WIREFRAME"
100,"UX"
101,"ANDROID"
102,"SALESFORCE"
103,"CRM"
104,"Javascript"
105,"React.js"
106,"Node.js"
107,"AngularJS"
108,"HTML"
109,"SQL"
110,"SOAP"
111,"JAVASCRIPT"
112,"SASS"
113,"ARTICULATE"
114,"MS SQL SERVER"
115,"STRUCTURED SOFTWARE"
116,"WEB SERVICES"
117,"TYPESCRIPT"
118,"Python"
119,"Adobe"
120,"CSS"
121,"IONIC"
122,"GIT"
123,"BOOTSTRAP"
124,"DEPLOYMENT"
125,"RESTFUL WEB SERVICES"
126,"UNIT TESTS"
127,"NoSQL"
128,"Linux"
129,"Containerization"
130,"change management"
131,"collaboration"
132,"project delivery"
133,"OPERATIONS"
134,"OPERATIONS MANAGER"
